,data_index,created_at,post_id,user_id,user_name,screen_name,user_location,profile_url,profile_description,quote_count,reply_count,retweet_count,favorite_count,lang,followers_count,verified,friends_count,listed_count,statuses_count,profile_created_at,profile_image_url,media_url,retweeted_media_url,profile,google_entities,spam,clean
4,4,Sat Oct 09 07:00:00 +0000 2021,1446732161512574976,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,0,1,5,91,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBPTO-tXMAQuLKi.jpg,,OfficialPLT,"{'google_entities_name': ['GER25 💗 👉 https://t.co/fflM2eNRU7', 'code', 'Excl Sale', 'https://t.co/QSBxtPvygN', 'This Week', 'Beauty &amp', '25'], 'google_entities_type': ['OTHER', 'OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'LOCATION', 'NUMBER']}",0," DISCOUNT with code: GER25 (Excl Sale, Beauty &amp; New In This Week)"
9,9,Fri Oct 08 08:00:27 +0000 2021,1446384982604328960,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,153,44,755,5906,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBKXeMvXMDgcUrK.jpg,,OfficialPLT,"{'google_entities_name': ['Jesy Nelson', 'single', 'Nicki Minaj', ""Boyz'' 🔥 https://t.co/cAb4bgt6go""], 'google_entities_type': ['PERSON', 'WORK_OF_ART', 'PERSON', 'OTHER']}",0,Jesy Nelson and Nicki Minajs have finally dropped the single Boyz
10,10,Fri Oct 08 07:45:43 +0000 2021,1446381277616221952,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,2,1,12,282,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBKUGjuXMAcd3Dp.jpg,,OfficialPLT,"{'google_entities_name': ['Justin Bieber', 'tracks', 'https://t.co/HlAOZyaBWz', 'THREE'], 'google_entities_type': ['PERSON', 'WORK_OF_ART', 'OTHER', 'NUMBER']}",0,Justin Bieber has released THREE new tracks
11,11,Fri Oct 08 07:00:02 +0000 2021,1446369781016375040,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,0,1,5,59,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBKJpgTXMA43e8N.jpg,,OfficialPLT,"{'google_entities_name': ['everything', 'code', 'GET20 👉 https://t.co/fflM2eNRU7', 'This Week', 'Beauty &amp', 'Excl Sale', '20', '6'], 'google_entities_type': ['OTHER', 'OTHER', 'OTHER', 'WORK_OF_ART', 'LOCATION', 'OTHER', 'NUMBER', 'NUMBER']}",0,"QUICK  off everything until PM with code: GET20 (Excl Sale, Beauty &amp; New In This Week)"
15,15,Thu Oct 07 14:00:09 +0000 2021,1446113117033745920,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,1,0,3,65,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBGgNKKVUAw6XcR.jpg,,OfficialPLT,"{'google_entities_name': ['Dresses', 'Bottoms', 'code', 'Tops &amp', 'link', 'https://t.co/5LiNp5UFKs', 'This Week', 'Excl Sale &amp', '30', '5'], 'google_entities_type': ['CONSUMER_GOOD', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'WORK_OF_ART', 'ORGANIZATION', 'NUMBER', 'NUMBER']}",0," Dresses, Tops &amp; Bottoms with code: PLTNOW through this link (Excl Sale &amp; New In This Week)"
16,16,Thu Oct 07 13:00:18 +0000 2021,1446098054789148928,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,92,69,81,1265,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBGShB_XMAYShJQ.jpg,,OfficialPLT,"{'google_entities_name': ['chicken curry', 'Chinese', 'salt', 'chips', 'pepper', 'Tiger Loaf', 'Rate My Plate', 'https://t.co/VHHspAIAaZ'], 'google_entities_type': ['OTHER', 'LOCATION', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER']}",0,Chinese chicken curry and salt and pepper chips stuffed inside a Tiger Loaf (Rate My Plate)
18,18,Thu Oct 07 09:32:52 +0000 2021,1446045856139031040,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,0,0,3,52,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBFjCrTWEAMj-ET.jpg,,OfficialPLT,"{'google_entities_name': ['range', 'TM @rimmellondonuk', '💙💧', 'PLT Beauty', 'https://t.co/YvSzH60Av9 https://t.co/c9tICkP5Lu'], 'google_entities_type': ['OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'OTHER']}",0,The NEW KIND &amp; FREE range has dropped on PLT Beauty here
19,19,Thu Oct 07 07:59:36 +0000 2021,1446022382699879936,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,15,6,74,1389,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBFNsR9WYAAxRe1.jpg,,OfficialPLT,"{'google_entities_name': ['Beyoncé', 'pictures', 'IG'], 'google_entities_type': ['PERSON', 'WORK_OF_ART', 'ORGANIZATION']}",0,Beyonc has uploaded some new IG pictures and they are
20,20,Wed Oct 06 19:50:57 +0000 2021,1445839013735247872,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,5,3,142,985,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBCm6w3WQAMp760.jpg,,OfficialPLT,"{'google_entities_name': ['BoxingDay https://t.co/w0Ivly7zZF', 'Leigh-Anne Pinnock &amp', 'Aja Naomi King'], 'google_entities_type': ['WORK_OF_ART', 'PERSON', 'PERSON']}",1,NEW CHRISTMAS MOVIE featuring Leigh-Anne Pinnock &amp; Aja Naomi King boxing day
24,24,Wed Oct 06 16:00:02 +0000 2021,1445780901728641024,418806465,PrettyLittleThing,OfficialPLT,,https://bit.ly/2VugCqp,Celebrating #EveryBODYinPLT 💖 Have a query? 👉 @OfficialPLT_CS ✨ Shop PLT x Teyana Taylor NYFW below 🔥,22,10,145,1494,en,502346,True,589,327,45903,Tue Nov 22 16:05:04 +0000 2011,https://pbs.twimg.com/profile_images/1400124073934471168/BsIBOr1Y_normal.jpg,https://pbs.twimg.com/media/FBByEP0UUAA0fxG.jpg,,OfficialPLT,"{'google_entities_name': ['Golden Retriever', 'tennis balls', 'Finley', 'world record', 'mouth', 'mail'], 'google_entities_type': ['ORGANIZATION', 'EVENT', 'PERSON', 'OTHER', 'OTHER', 'OTHER']}",0,A Golden Retriever named Finley has broken the world record for holding the most tennis balls in his mouth (via the daily mail)
