,x,y,labels,docs
0,4.217396,1.877201,33," DISCOUNT with code: GER25 (Excl Sale, Beauty &amp; New In This Week)"
1,3.2329109,0.13382298,38,Jesy Nelson and Nicki Minajs have finally dropped the single Boyz
2,3.1779504,0.06580258,38,Justin Bieber has released THREE new tracks
3,4.175226,1.8853843,33,"QUICK  off everything until PM with code: GET20 (Excl Sale, Beauty &amp; New In This Week)"
4,4.143518,1.9208256,33," Dresses, Tops &amp; Bottoms with code: PLTNOW through this link (Excl Sale &amp; New In This Week)"
5,0.44188187,-1.5821991,-1,Chinese chicken curry and salt and pepper chips stuffed inside a Tiger Loaf (Rate My Plate)
6,4.2897816,1.7113942,-1,The NEW KIND &amp; FREE range has dropped on PLT Beauty here
7,3.2588751,0.28056234,-1,Beyonc has uploaded some new IG pictures and they are
8,3.0874028,0.04144926,38,NEW CHRISTMAS MOVIE featuring Leigh-Anne Pinnock &amp; Aja Naomi King boxing day
9,2.2291381,-2.9808378,4,A Golden Retriever named Finley has broken the world record for holding the most tennis balls in his mouth (via the daily mail)
10,2.94568,-0.12927906,53,Happy Birthday to TikTok QUEEN addison rae
11,3.061254,1.5788997,31,Need a Halloween squad outfit?! We have you covered Tag your BFF's who should go matching with you this Halloween
12,3.1936178,0.1716594,38,WE ARE READY jes y nelson nicki min aj boyz
13,2.7027185,-1.0694267,38,Congrats to Stacey Solomon &amp; Joe Swash on the arrival of their baby girl
14,2.0319934,-0.69344485,11,WE BACK IN BUSINESS To celebrate the return of Instagram Were giving away CASH What a DAY of emotions Head to our IG to enter
15,1.1495076,1.6294757,11,. watching people go to Instagram
16,2.9296744,0.24040397,46,So are we like posting our selfies to LinkedIn now!? insta down
17,0.9623088,1.672456,-1,I know which one well be doing squid game insta down
18,2.2575235,1.560825,48,Feels RN with most social platforms being down xx
19,0.86927855,1.5838058,11,"Repeatedly checking Instagram, Facebook &amp; WhatsApp like insta down squid game"
20,1.1561629,1.4952234,11,How the day started vs. how its going facebook down what sapp down insta gram down
21,2.0936522,-1.0825049,-1,"PLT X Stella Rosa GIVEAWAY Look fine while drinking wine We've teamed up with to give away a $250 PLT voucher, $500 visa card &amp; more! To enter: &amp; RT this tweet Follow us &amp; MUST be + to enter. Full T&amp;C's on our website"
22,2.7998173,-0.13261908,38,Happy Birthday to the AMAZING little mix
23,4.359761,1.5128638,-1,PRETTYLITTLETHING X THE FLAT LAY MAKEUP BAG Shop on PLT Beauty Perfect for keeping your beauty products safe
24,3.6011398,-0.41265532,27,"Molly Mae's Picks With fresh new styles added weekly that have been picked out by Molly herself, this edit is sure to make day-to-night styling a breeze"
25,4.022454,1.8768655,-1,BACK IN STOCK The bridesmaid dress is back in stock Shop through this link
26,1.9441113,1.3605782,55,YOU season lands on Netflix this month you
27,3.8737872,1.746968,-1,NEW IN HOMEWARE Shop now through our Home category
28,4.061706,1.9595126,-1,FAUX LEATHER JACKETS stay on trend and shop with PrettyLittleThing
29,3.190624,0.1157878,38,So READY for Jesy Nelsons first solo single with
30,2.8226721,-1.9372001,-1,"CoppaFeel! x PLT In support of Breast Cancer Awareness month weve teamed up with the AMAZING PLT will be donating k +  of proceeds from the sales (proceeds shall mean the sale price of the product paid by the customer, less product cost price &amp; VAT)"
31,1.0908806,0.59174955,-1,"Dogs dressed as ghosts... that's it, that's the tweet."
32,2.7462928,-0.33431092,14,It's October st LIKE this tweet to WIN a Halloween Beauty Box
33,4.178874,1.8615788,33,CLEARPAY DAY GET AN EXTRA  OFF EVERYTHING USE CODE: CLEAR10 *Excl Beauty &amp; New In This Week*
34,2.9526386,-0.19098744,38,Happy Wedding Anniversary to Justin &amp; Hailey Bieber
35,0.95448774,1.6724492,-1,The best Netflix series at the moment... squid game
36,3.9024184,1.7654374,-1,STAY ON TREND Shop all NEW IN here
37,4.1007304,1.8334038,-1,FINAL REDUCTIONS Shop up to  off everything Excl Beauty &amp; New In This Week
38,3.801007,1.6776685,-1,NEW IN HOMEWARE From Candles to Games Check the latest in here
39,0.98705935,-1.7345164,-1,A post to make you smile (.burger)
40,3.239942,1.6809137,31,"HOUSE OF SCREAMS Get ready to SLAY this Halloween season in costumes made to be best dressed Whether youre wanting to Trick or Treat , we got the fit for you Shop all things Halloween"
41,4.0721354,1.936086,-1,PRETTYLITTLETHING Hair Accessories Shop through this link
42,4.0179195,1.7870356,-1,Shop up to  off everything Excl Beauty &amp; New In This Week
43,3.6424572,0.54070556,46,Want to shop our Instagram Feed directly?! Shop all your favourite looks here
44,3.3508375,2.4404418,30,Category is casual vibes Shop Now: caitlanredding
45,3.2976415,2.3526304,30,"Weekend, is that you? Shop the blazer: laragiii"
46,2.0336957,1.7494653,51,Start of : This is going to be my year October :
47,3.187463,2.4249957,30,Did someone say date night? Shop Now: erikalipps
48,3.2102664,2.2240286,30,Weekend... is that you? Shop the coat: lissyroddyy
49,3.2184935,2.305588,31,boohoo x Shop the collection: eirinnmolloy
50,3.467807,2.016096,31,Every fit. Every Style. Every Occasion Shop essential denim now:
51,3.2748404,0.16500609,38,Jesy Nelson x Nicki Minaj has dropped boyz
52,3.322755,2.1981099,31,A/W styling for two Shop the set:
53,1.2728134,0.98614013,53,Was obsessed with The Hex Girls tbh
54,3.2660222,2.4501293,31,The blueprint Shop the look: berniecelina
55,3.4311523,2.1677163,31,In Demand Shop the jacket now with  off:
56,1.7724212,1.6132807,-1,These movies made me who I am
57,3.2941937,2.4742498,30,It's the green for me Shop Now: stripesfreakgirl
58,1.1278485,1.736769,-1,When all the contactless payments hit at once squid game
59,3.1994233,1.8827732,31,Matching outfits you need Get ready for spooky season here:
60,0.8692105,1.5850704,-1,"Red Light, Green light squid game"
61,1.810736,1.6574283,48,Me with hours sleep VS me with hours sleep
62,2.884694,0.016382905,-1,Good morning to Beyonc and Beyonc only
63,0.65065116,-2.2780194,36,Belgian Chocolate &amp; Hazelnut Little Moons newfoodsuk
64,3.4364154,2.138935,23,Seasons change Shop your Autumn essentials: _honeyshay
65,3.0924087,2.326575,31,"You make the plans, we'll provide the fit Shop Now: _laurynhughes"
66,1.0381653,1.6995249,-1,These behind the scenes pics squid game
67,3.2596288,1.1405867,31,th - Blair Witch (1999 / )
68,0.34337962,-1.6655699,-1,Crispy mozzarella sticks &amp; crispy halloumi fries
69,1.9550823,1.1217611,51,The most wonderful time of the year
70,3.342166,2.3826,30,Dreaming of summer ' Shop Now: alyssamarieartistry
71,3.4014368,2.1840553,31,Green with envy at these looks Shop New Season now:
72,3.1185389,0.05241525,38,Nicki Minaj and Papa Bear are the cutest
73,1.5406328,2.0594761,11,Me looking at my drunk tweets
74,2.7300007,-1.0593377,38,Congratulations to Stacey Solomon and Joe Swash on their new arrival
75,4.0199423,-0.29486763,18,This varsity Jacket &gt; everything else Millie Court wears the Oversized Padded Ohio Varsity Jacket
76,2.8526254,-2.0539699,-1,"In honour of Breast Cancer Awareness Month, weve teamed up with the incredible to help you get to know your breasts. Tag a friend to help spread more awareness breast cancer awareness month"
77,3.2506154,1.7573056,31,SPICE UP YOUR LIFE Get Halloween ready here:
78,4.1422963,1.9329662,33,APP EXCLUSIVE scroll boohoo instead and get  off using code: APPY
79,0.9862637,1.676044,13,Thinking about the real ones right now scroll boohoo instead
80,0.7462216,1.6678177,13,Not you as well Twitter scroll boohoo instead twitter down
81,0.7288647,1.6580997,13,Adele changes her profile pic and breaks the internet adele30 scroll boohoo instead
